| ئاخفتنخوەش | وەسف (هەڤالناڤ) | ئەو کەسێ کو پەیڤێن وی وەک هنگیڤی نە. |
| ئاسێبوون | کار (چاوگ) | گیرۆبوون، مانەڤە د جهەکێ دا کو دەرکەڤتن ژێ ب زەحمەت بیت |
| ئاشتبوون | کار (چاوگ) | پێکهاتن و نەهێلانا عاجزی و ناکۆکیان |
| ئاشکراکرن | کار (چاوگ) | دیارکرن، خستنە ڕوو، بەیانکرن |
| ئاڤابوون | کار (چاوگ) | ژناڤچوون (بۆ رۆژێ: رۆژئاڤابوون)، یان دروستبوون و پێشکەڤتن |
| ئاڤاکرن | کار (چاوگ) | دروستکرن، بیناکرن |
| ئاڤدان | کار (چاوگ) | دانا ئاڤێ ب رووەک و داران |
| ئاڤەدانکرن | کار (چاوگ) | پێشخستن و چێکرنا جهەکێ و ئامادەکرن بۆ ژیانێ |
| ئاکنجیبوون | کار (چاوگ) | نیشتەجێبوون، مانەڤە و ژیان د جهەکێ دیاریکری دا |
| ئاگەھداربوون | کار (چاوگ) | زانین و پێحەسیان ب تشتەکێ |
| ئاگەھدارکرن | کار (چاوگ) | زانیاریدان ب کەسەکێ، هایدارکرن |
| ئالاستن | کار (چاوگ) | لێدانا ئەزمانی بۆ تشتەکێ بۆ تەمکرن یان پاقژکرن |
| ئالۆزبوون | کار (چاوگ) | تێکچوون، زەحمەت بوونا کارەکێ یان ڕەوشەکێ |
| ئامادەکرن | کار (چاوگ) | بەرھەڤکرن، ڕێکخستن بۆ کارەکێ |
| ئامۆژگاریکرن | کار (چاوگ) | شیرەتدان، رێنماییکرنا کەسەکێ بۆ کارەکێ باش |
| ئاوارەبوون | کار (چاوگ) | بجهھێلانا مال و حال ژ بەر نەچاریێ و چوون بۆ جهەکێ دی |
| ئاوازدانان | کار (چاوگ) | دروستکرنا ئاواز و مۆزیکێ بۆ سترانان |
| ئەرشیفکرن | کار (چاوگ) | پاراستنا بەلگە و زانیاریان د جهەکێ تایبەت دا |
| ئەشکەنجەدان | کار (چاوگ) | ئازاردانا جەستەیی یان دەروونی |
| ئیمزاکرن | کار (چاوگ) | نڤیسینا ناڤی یان نیشانەکێ ل سەر بەلگەنامەیەکێ بۆ پەسەندکرنێ |
| ئێخستن | کار (چاوگ) | خستن، کەراندن یان هاڤێتنی خوارێ |
| ئێکگرتن | کار (چاوگ) | یەکگرتن، پێکڤەبوون و دروستکرنا هێزەک یان گروپەکێ |
| باجوەرگرتن | کار (چاوگ) | وەرگرتنا باج و پارەی ژ خەلکی یان بازرگانان |
| بازرگانیکرن | کار (چاوگ) | کڕین و فرۆتن ب مەبەستا قازانجێ |
| بازنەکرن | کار (چاوگ) | دروستکرنا شێوەیێ بازنەیی |
| باشبوون | کار (چاوگ) | چێبوون، رزگاربوون ژ نەخۆشیێ یان خراببوونێ |
| باوەرپێکرن | کار (چاوگ) | باوەریپێکرن، راستدەرخستنا کەسەکێ یان گۆتنەکێ |
| باوەرکرن | کار (چاوگ) | باوەریئینان، دڵنیابوون ژ ڕاستیا تشتەکێ |
| باوەڕئێنان | کار (چاوگ) | باوەریئینان ب ئایینەکێ یان هزرەکێ |
| باوەشینکرن | کار (چاوگ) | هەواکرن ب باوەشینێ بۆ فێنککرنێ |
| بچووککرن | کار (چاوگ) | کێمکرنا قەبارە یان بهایێ تشتەکێ |
| براژتن | کار (چاوگ) | برژاندن، لێنانا خوارنێ ل سەر ئاگری بێی ئاڤ و ڕۆن. |
| برسیبوون | کار (چاوگ) | هەستکرن ب پێدڤیبوونا خوارنێ |
| بریسقاندن | کار (چاوگ) | وەرکرن کو تشتەک ببریسقیت |
| برینداربوون | کار (چاوگ) | برینداربوون، تووشبوونا ب برین و زەرەرێ د جەستەی دا |
| بزاڤکرن | کار (چاوگ) | هەولدان، کۆششکرن بۆ گەهشتن ب ئارمانجەکێ |
| بڕیاردان | کار (چاوگ) | دەرخستنا بڕیارێ، گەهشتن ب ئەنجامەکێ دوماهیێ |
| بڕێڤەبرن | کار (چاوگ) | برنا ڕێڤە، ئیدارەدان و سەرپەرشتیکرنا کارەکێ |
| بڕێکرن | کار (چاوگ) | بڕێخستن، هنارتنا کەسەکێ بۆ جهەکێ |
| بکارهینان | کار (چاوگ) | بکارئینان، مفاوەرگرتن ژ تشتەکێ بۆ مەبەستەکێ |
| بلندبوون | کار (چاوگ) | بەرزبوون، چوون بەرەڤ سەرڤە یان زێدەبوونا ئاستی |
| بناڤکرن | کار (چاوگ) | ناڤلێنان، دانانا ناڤی بۆ تشتەکێ یان کەسەکێ |
| بنکەڤتن | کار (چاوگ) | ژێرکەڤتن، شکەستن د پێشبڕکێ یان شەڕی دا |
| بەربژێرکرن | کار (چاوگ) | کاندیدکرن، پێشنیارکرنا کەسەکێ بۆ پۆستەکێ |
| بەرخودان | کار (چاوگ) | خۆڕاگری، بەرەڤانیکرن ب توندی |
| بەردان | کار (چاوگ) | ئازادکرن، بەرەڵاکرن یان بجهھێلان |
| بەرگریکرن | کار (چاوگ) | بەرەڤانیکرن، پاراستنا ژ هێرشان |
| بەرھەمئینان | کار (چاوگ) | دروستکرن و چێکرنا بەرهەمی |
| بەرێخوەدان | کار (چاوگ) | سەحکرن، تەماشەکرنا تشتەکێ یان کەسەکێ |
| بەڕەلاکرن | کار (چاوگ) | بەردان، ئازادکرنا بێ سنور |
| بەستن | کار (چاوگ) | گرێدان، قفڵکرن یان ئاسێکرن |
| بەشداریکرن | کار (چاوگ) | پشکداریکرن، کەتنە د ناڤ کارەکێ یان چالاکیەکێ دا |
| بەغیلیبرن | کار (چاوگ) | حەسودیبرن، نەڤیانا باشیێ بۆ کەسەکێ دی |
| بەلاڤکرن | کار (چاوگ) | بەڵاڤکرن، پارڤەکرن یان تێکڤەدان |
| بەلگەنامەکرن | کار (چاوگ) | دیکیۆمێنتکرن، پاراستنا ب شێوەیێ بەلگەنامە |
| بەڵاڤکرن | کار (چاوگ) | بەلاڤکرن، گەهاندنا تشتەکێ بۆ گەلەک جهان |
| بوون | کار (چاوگ) | پەیدابوون، دروستبوون یان هەبوون |
| بۆشبوون | کار (چاوگ) | زێدەبوون، پڕبوون (وەک بۆشبوونا ئاڤێ) |
| بۆیاخکرن | کار (چاوگ) | رەنگکرن، لێدانا بۆیاخێ ل تشتەکێ |
| بیرئینان | کار (چاوگ) | هاتنەبیر، بیرهاتنەوە |
| بێدەنگبوون | کار (چاوگ) | دەنگنەکرن، مانەڤە بێ ئاخڤتن |
| بێکەسبوون | کار (چاوگ) | مانەڤە ب تنێ و بێ کەس و کار |
| بێگونەھکرن | کار (چاوگ) | پاقژکرن ژ تاوانێ و گونەهێ |
| بێهنژین | کار (چاوگ) | پشمین، دەرکەڤتنا هەوای ب هێز ژ لوویێ |
| بێھۆشبوون | کار (چاوگ) | ژهۆشچوون، بێ ئاگەهبوون ژ خۆ |
| پارچەکرن | کار (چاوگ) | قەتکرن، دابەشکرن بۆ چەند پارچەیان |
| پارڤەکرن | کار (چاوگ) | دابەشکرن، لێکڤەکرن و دانا پشکان |
| پاشئێخستن | کار (چاوگ) | گیرۆکرن، پاشخستنا دەمێ کارەکێ |
| پاشخستن | کار (چاوگ) | پاشئێخستن، گۆهڕینا دەمی بۆ دەمەکێ دی |
| پاشڤەکێشان | کار (چاوگ) | زڤڕین بۆ پاشڤە، ڤەکێشانا هێزان |
| پاشڤەمان | کار (چاوگ) | مانەڤە ل پاش، نەگەهشتن ب پێشکەڤتنێ |
| پاقژبوون | کار (چاوگ) | خاوێنبون، نەمامنا پیسیێ |
| پاککرن | کار (چاوگ) | پاقژکرن، راماڵینا پیسیێ |
| پاڵدان | کار (چاوگ) | پاڵپێڤەدان، پاڵپشتیکرن ل سەر تشتەکێ یان هێزکرن بۆ پێشڤە |
| پرسیارکرن | کار (چاوگ) | پسیارکرن، داخوازا زانیاریان |
| پڕکرن | کار (چاوگ) | تژیکرن، داگرتنا جهەکێ ڤالا |
| پڕمەکرن | کار (چاوگ) | کرنە پڕمەپڕم ب تایبەت ل دەمێ گریێ یان کەنینێ |
| پڕوپاگەندەکرن | کار (چاوگ) | ریكلامکرن، بەلاڤکرنا دەنگوباسان بۆ مەبەستەکێ |
| پشتبەستن | کار (چاوگ) | باوەریپێکرن و خۆ ل سەر گرێدان |
| پشتڕاستبوون | کار (چاوگ) | دڵنیابوون، ئەرێنیبوون ل سەر ڕاستیا تشتەکێ |
| پشتڕاستکرن | کار (چاوگ) | دڵنیاکرنەوە، سەلماندن |
| پشتگۆھھاڤێتن | کار (چاوگ) | گۆھنەدانێ، فەرامۆشکرن و پشتگۆهخستن |
| پشتەڤانیکرن | کار (چاوگ) | پشتگیری، هاریکاریکرن و هاندان |
| پشکداریکرن | کار (چاوگ) | بەشداریکرن د کارەکێ یان چالاکیەکێ دا |
| پشکنین | کار (چاوگ) | لێگەڕیان و سەحکرنا هویر بۆ دەرخستنا ڕاستیێ |
| پشکنینکرن | کار (چاوگ) | پشکنین، گەڕیان و سەحکرنا هویر |
| پەخشکرن | کار (چاوگ) | بەلاڤکرن و پەخشکرنا بەرنامە یان زانیاریان |
| پەسندان | کار (چاوگ) | مەدحکرن، گۆتنا باشیێن کەسەکێ یان تشتەکێ |
| پەسەندکرن | کار (چاوگ) | قەبوولکرن و ڕازیبوون ل سەر تشتەکێ |
| پەشێمانبوون | کار (چاوگ) | پەشێمانبوون، لۆمەکرنا خۆ ل سەر کارەکێ بەرێ |
| پەلکێشکرن | کار (چاوگ) | راکێشان بەرەڤ خۆڤە، هاندانا بۆ چوونە ناڤ جهەکێ |
| پەنجەدان | کار (چاوگ) | لێدانا پەنجەی ب تشتەکێ |
| پەیاسەکرن | کار (چاوگ) | گەڕیان، پیاسەکرن ب پێیان بۆ خۆشیێ |
| پەیامدان | کار (چاوگ) | هنارتنا نامە یان پەیامەکێ |
| پەیماندان | کار (چاوگ) | سۆزدان، دانا بەڵێنی ب کەسەکێ |
| پەیوەندیکرن | کار (چاوگ) | گرێدان و پەیوەندیکرن ب کەسەکێ دی ڤە |
| پەێگیریکرن | کار (چاوگ) | پێگیریکرن، پابەندبوون ب بڕیار یان یاسایێ |
| پوختەکرن | کار (چاوگ) | کورتکرن و دەرخستنا ئەنجامێن سەرەکی |
| پۆشین | کار (چاوگ) | لێکرنا جلوبەرگان |
| پۆلێنکرن | کار (چاوگ) | جوداکرن و دابەشکرن ل دووڤ جور و پۆلان |
| پیچکرن | کار (چاوگ) | خرابکرن، یان پێچان و لوولکرن |
| پیربوون | کار (چاوگ) | مەزنبوون د تەمەنی دا و گەهشتن ب قۆناغا پیریێ |
| پیرۆزکرن | کار (چاوگ) | پیرۆزباهیکرن، خواستنا خێر و خۆشیێ بۆ یێ دی |
| پیسبوون | کار (چاوگ) | ژ دەستدانا پاقژیێ |
| پیسکرن | کار (چاوگ) | خرابکرن و ژ دەستدانا پاقژیا تشتەکێ |
| پینەکرن | کار (چاوگ) | دروستکرن و چاککرنا کونی یان دڕانێ ب پارچەیەکا دی |
| پێداچوون | کار (چاوگ) | دووبارە سەحکرنەوە و خاندنەوە بۆ راستڤەکرنێ |
| پێشئێخستن | کار (چاوگ) | برنە پێشڤە، پێشخستن د کارەکێ دا |
| پێشاندان | کار (چاوگ) | نیشاندان و بەرچاڤکرنا تشتەکێ |
| پێشبڕکێکرن | کار (چاوگ) | هەڤڕکیکرن، ڕکابەری دگەل کەسەکێ دی |
| پێشخستن | کار (چاوگ) | بەرەڤپێشبرن و گەشەپێدان |
| پێشڕەویکرن | کار (چاوگ) | سەرکردایەتیکرن و چوون ل پێشیا کەسێن دی |
| پێشنیازکرن | کار (چاوگ) | پێشکێشکرنا هزر و بۆچوونان بۆ کارەکێ |
| پێشوازیکرن | کار (چاوگ) | ب خێرهاتنکرنا مێڤانان |
| پێڤەدان | کار (چاوگ) | گەستنا گیانەوەران مینا مار یان دوپشکی، یان لێدان |
| پێڤەکرن | کار (چاوگ) | گرێدان ب تشتەکێ دی ڤە، یان هەلکرن و ڤێخستن (وەک گلۆپێ) |
| پێکڤەکرن | کار (چاوگ) | گرێدان و لێکدانا دوو تشتان یان پتر |
| پێکۆڵکرن | کار (چاوگ) | هەولدان و کۆششکرن |
| تاریبوون | کار (چاوگ) | رەشبوون و نەماما رووناهیێ |
| تازیکرن | کار (چاوگ) | رووتکرن، دەرخستنا بێ جلوبەرگ |
| تاڕاشین | کار (چاوگ) | تراشین و بڕینا موویان یان داران |
| تاقیکرن | کار (چاوگ) | ئەزموونکرن، تاقیکردنەوەیا تشتەکێ |
| تاوانبارکرن | کار (چاوگ) | خستنا تاوانێ ب سەر کەسەکێ دا |
| تاوانکرن | کار (چاوگ) | ئەنجامدانا کارەکێ خراب یان دژی یاسایێ |
| ترساندن | کار (چاوگ) | ترسخستنە دلی و تۆقاندن |
| ترشکرن | کار (چاوگ) | لێکرنا تاما ترش ب خوارنێ |
| تەپەسەرکرن | کار (چاوگ) | چەوساندنەوە، لێدانا سەرکوتکەرانە |
| تەحلکرن | کار (چاوگ) | تالکرن، دروستکرنا تاما تال |
| تەزیبوون | کار (چاوگ) | سڕبوون یان ساربوونا زۆر |
| تەزیکرن | کار (چاوگ) | سڕکرن یان سارکرن |
| تەڕبوون | کار (چاوگ) | شلبوون ب ئاڤێ |
| تەسلیمبوون | کار (چاوگ) | خۆدەستدەدان، رادەستبوونا ب کەسەکێ دی |
| تەقاندن | کار (چاوگ) | پەقاندن، دروستکرنا تەقینێ |
| تەقین | کار (چاوگ) | پەقین، دەنگێ ب هێز یێ پەقینێ |
| تەلاقدان | کار (چاوگ) | ژێڤەبوون و جودابوونا هەڤژینان ژ ئێک |
| تەمەناکرن | کار (چاوگ) | هیڤیخوازی، داخوازکرنا تشتەکێ ژ خودێ یان کەسەکێ |
| تەندروستکرن | کار (چاوگ) | باشکرنا ساخلەمیێ |
| تۆڕەبوون | کار (چاوگ) | عاجزبوون و بێزاربوون ژ کەسەکێ |
| تۆڤکرن | کار (چاوگ) | چاندنا تۆڤی د ئەردی دا |
| تۆلەڤەکرن | کار (چاوگ) | حەیفڤەکرن، وەرگرتنا تۆلێ بەرامبەر خرابکاریکێ |
| تۆمارکرن | کار (چاوگ) | نڤیسین و هەلگرتنا ناڤ یان زانیاریان، ریکۆردکرن |
| تیژکرن | کار (چاوگ) | تیژکرنا دەڤێ کێرێ یان ئاموورەکێ |
| تیشکدان | کار (چاوگ) | دانا رووناهیێ و تیشکێ |
| تێپەڕین | کار (چاوگ) | دەربازبوون ژ جهەکێ یان دەمەکێ |
| تێرکرن | کار (چاوگ) | تێربوونا ژ خوارنێ یان تژیکرن |
| تێکڤەدان | کار (چاوگ) | لێکدان و تێکەلکرنا تشتان |
| تێکەلبوون | کار (چاوگ) | تێکەلبوونا دگەل خەلکی یان تشتان |
| تێکەلکرن | کار (چاوگ) | ژێکهەلکرنا دوو یان چەند تشتان پێکڤە |
| تێکۆشان | کار (چاوگ) | خەباتکرن و هەولدان د رێکا ئارمانجەکێ دا |
